State Name,Sector,Year,Geography ID,Source,Consumption MMBtu,Expenditure US Dollars
Alabama,residential,2043,G01,elec,85068274.25692035,2748179811.978017
Alabama,commercial,2044,G01,elec,94747394.08137792,2518118460.5169024
Alabama,industrial,2044,G01,elec,132420389.67829345,2164964185.986358
Alabama,residential,2044,G01,elec,85086621.80068919,2737065501.0125675
Alabama,commercial,2045,G01,elec,94741800.65396088,2513526008.296729
Alabama,industrial,2045,G01,elec,133653787.60059409,2186929173.2535176
Alabama,residential,2045,G01,elec,85059364.9366126,2737983977.1342726
Alabama,commercial,2046,G01,elec,94733314.29553236,2522406509.572178
Alabama,industrial,2046,G01,elec,134718242.71237904,2209498441.319143
Alabama,residential,2046,G01,elec,84962906.04849647,2748818381.639725
Alabama,commercial,2047,G01,elec,94696422.18037069,2556725723.475471
Alabama,industrial,2047,G01,elec,135873932.4131065,2242379249.874964
