nsb,Timestamp_UTC,Timestamp_local
17.689999999999998,2024-07-21 09:00:00,2024-07-21 04:00:00
18.365000000000002,2024-07-21 10:00:00,2024-07-21 05:00:00
13.656666666666666,2024-07-21 11:00:00,2024-07-21 06:00:00
10.12,2024-07-22 01:00:00,2024-07-21 20:00:00
16.82,2024-07-22 02:00:00,2024-07-21 21:00:00
18.055,2024-07-22 03:00:00,2024-07-21 22:00:00
17.25,2024-07-22 04:00:00,2024-07-21 23:00:00
17.6525,2024-07-22 05:00:00,2024-07-22 00:00:00
17.37,2024-07-22 06:00:00,2024-07-22 01:00:00
17.0,2024-07-22 07:00:00,2024-07-22 02:00:00
16.83,2024-07-22 08:00:00,2024-07-22 03:00:00
17.089999999999996,2024-07-22 09:00:00,2024-07-22 04:00:00
18.085,2024-07-22 10:00:00,2024-07-22 05:00:00
13.463333333333333,2024-07-22 11:00:00,2024-07-22 06:00:00
12.4,2024-07-23 01:00:00,2024-07-22 20:00:00
17.465,2024-07-23 02:00:00,2024-07-22 21:00:00
18.655,2024-07-23 03:00:00,2024-07-22 22:00:00
18.08,2024-07-23 04:00:00,2024-07-22 23:00:00
17.745,2024-07-23 05:00:00,2024-07-23 00:00:00
17.675,2024-07-23 06:00:00,2024-07-23 01:00:00
17.810000000000002,2024-07-23 07:00:00,2024-07-23 02:00:00
17.8,2024-07-23 08:00:00,2024-07-23 03:00:00
17.05,2024-07-23 09:00:00,2024-07-23 04:00:00
17.099999999999998,2024-07-23 10:00:00,2024-07-23 05:00:00
13.883333333333333,2024-07-23 11:00:00,2024-07-23 06:00:00
16.93,2024-07-24 02:00:00,2024-07-23 21:00:00
19.525,2024-07-24 03:00:00,2024-07-23 22:00:00
19.58,2024-07-24 04:00:00,2024-07-23 23:00:00
18.9525,2024-07-24 05:00:00,2024-07-24 00:00:00
18.5925,2024-07-24 06:00:00,2024-07-24 01:00:00
17.1225,2024-07-24 07:00:00,2024-07-24 02:00:00
16.85,2024-07-24 08:00:00,2024-07-24 03:00:00
17.137500000000003,2024-07-24 09:00:00,2024-07-24 04:00:00
17.369999999999997,2024-07-24 10:00:00,2024-07-24 05:00:00
13.81,2024-07-24 11:00:00,2024-07-24 06:00:00
10.12,2024-07-25 01:00:00,2024-07-24 20:00:00
17.6625,2024-07-25 02:00:00,2024-07-24 21:00:00
20.14,2024-07-25 03:00:00,2024-07-24 22:00:00
19.915,2024-07-25 04:00:00,2024-07-24 23:00:00
19.35,2024-07-25 05:00:00,2024-07-25 00:00:00
18.925,2024-07-25 06:00:00,2024-07-25 01:00:00
18.47,2024-07-25 07:00:00,2024-07-25 02:00:00
17.5425,2024-07-25 08:00:00,2024-07-25 03:00:00
17.2125,2024-07-25 09:00:00,2024-07-25 04:00:00
17.1775,2024-07-25 10:00:00,2024-07-25 05:00:00
13.916666666666666,2024-07-25 11:00:00,2024-07-25 06:00:00
10.5,2024-07-26 01:00:00,2024-07-25 20:00:00
17.2875,2024-07-26 02:00:00,2024-07-25 21:00:00
20.115,2024-07-26 03:00:00,2024-07-25 22:00:00
20.1875,2024-07-26 04:00:00,2024-07-25 23:00:00
19.8375,2024-07-26 05:00:00,2024-07-26 00:00:00
19.569999999999997,2024-07-26 06:00:00,2024-07-26 01:00:00
19.0325,2024-07-26 07:00:00,2024-07-26 02:00:00
18.372500000000002,2024-07-26 08:00:00,2024-07-26 03:00:00
17.3525,2024-07-26 09:00:00,2024-07-26 04:00:00
17.0775,2024-07-26 10:00:00,2024-07-26 05:00:00
13.946666666666665,2024-07-26 11:00:00,2024-07-26 06:00:00
10.35,2024-07-27 01:00:00,2024-07-26 20:00:00
16.8425,2024-07-27 02:00:00,2024-07-26 21:00:00
19.3025,2024-07-27 03:00:00,2024-07-26 22:00:00
19.845,2024-07-27 04:00:00,2024-07-26 23:00:00
19.435,2024-07-27 05:00:00,2024-07-27 00:00:00
19.29,2024-07-27 06:00:00,2024-07-27 01:00:00
19.37,2024-07-27 07:00:00,2024-07-27 02:00:00
18.745,2024-07-27 08:00:00,2024-07-27 03:00:00
17.972500000000004,2024-07-27 09:00:00,2024-07-27 04:00:00
17.1925,2024-07-27 10:00:00,2024-07-27 05:00:00
14.0,2024-07-27 11:00:00,2024-07-27 06:00:00
10.61,2024-07-28 01:00:00,2024-07-27 20:00:00
17.95,2024-07-28 02:00:00,2024-07-27 21:00:00
20.130000000000003,2024-07-28 03:00:00,2024-07-27 22:00:00
19.83,2024-07-28 04:00:00,2024-07-27 23:00:00
20.3425,2024-07-28 05:00:00,2024-07-28 00:00:00
19.9075,2024-07-28 06:00:00,2024-07-28 01:00:00
19.5825,2024-07-28 07:00:00,2024-07-28 02:00:00
19.197499999999998,2024-07-28 08:00:00,2024-07-28 03:00:00
18.564999999999998,2024-07-28 09:00:00,2024-07-28 04:00:00
18.1825,2024-07-28 10:00:00,2024-07-28 05:00:00
14.386666666666668,2024-07-28 11:00:00,2024-07-28 06:00:00
10.77,2024-07-29 01:00:00,2024-07-28 20:00:00
17.9025,2024-07-29 02:00:00,2024-07-28 21:00:00
20.150000000000002,2024-07-29 03:00:00,2024-07-28 22:00:00
20.017500000000002,2024-07-29 04:00:00,2024-07-28 23:00:00
20.0775,2024-07-29 05:00:00,2024-07-29 00:00:00
20.4,2024-07-29 06:00:00,2024-07-29 01:00:00
20.1375,2024-07-29 07:00:00,2024-07-29 02:00:00
19.987499999999997,2024-07-29 08:00:00,2024-07-29 03:00:00
19.3525,2024-07-29 09:00:00,2024-07-29 04:00:00
19.2375,2024-07-29 10:00:00,2024-07-29 05:00:00
14.683333333333332,2024-07-29 11:00:00,2024-07-29 06:00:00
11.07,2024-07-30 01:00:00,2024-07-29 20:00:00
18.2075,2024-07-30 02:00:00,2024-07-29 21:00:00
20.155,2024-07-30 03:00:00,2024-07-29 22:00:00
20.185,2024-07-30 04:00:00,2024-07-29 23:00:00
20.130000000000003,2024-07-30 05:00:00,2024-07-30 00:00:00
20.227500000000003,2024-07-30 06:00:00,2024-07-30 01:00:00
20.1375,2024-07-30 07:00:00,2024-07-30 02:00:00
20.247500000000002,2024-07-30 08:00:00,2024-07-30 03:00:00
19.765,2024-07-30 09:00:00,2024-07-30 04:00:00
19.302500000000002,2024-07-30 10:00:00,2024-07-30 05:00:00
14.71,2024-07-30 11:00:00,2024-07-30 06:00:00
11.29,2024-07-31 01:00:00,2024-07-30 20:00:00
18.287499999999998,2024-07-31 02:00:00,2024-07-30 21:00:00
19.595,2024-07-31 03:00:00,2024-07-30 22:00:00
19.7125,2024-07-31 04:00:00,2024-07-30 23:00:00
19.825,2024-07-31 05:00:00,2024-07-31 00:00:00
20.1875,2024-07-31 06:00:00,2024-07-31 01:00:00
20.27,2024-07-31 07:00:00,2024-07-31 02:00:00
20.5875,2024-07-31 08:00:00,2024-07-31 03:00:00
20.412499999999998,2024-07-31 09:00:00,2024-07-31 04:00:00
20.2975,2024-07-31 10:00:00,2024-07-31 05:00:00
15.026666666666666,2024-07-31 11:00:00,2024-07-31 06:00:00
11.61,2024-08-01 01:00:00,2024-07-31 20:00:00
18.355,2024-08-01 02:00:00,2024-07-31 21:00:00
20.1125,2024-08-01 03:00:00,2024-07-31 22:00:00
20.1875,2024-08-01 04:00:00,2024-07-31 23:00:00
20.1625,2024-08-01 05:00:00,2024-08-01 00:00:00
20.25,2024-08-01 06:00:00,2024-08-01 01:00:00
20.23,2024-08-01 07:00:00,2024-08-01 02:00:00
20.372500000000002,2024-08-01 08:00:00,2024-08-01 03:00:00
20.2875,2024-08-01 09:00:00,2024-08-01 04:00:00
20.07,2024-08-01 10:00:00,2024-08-01 05:00:00
15.016666666666666,2024-08-01 11:00:00,2024-08-01 06:00:00
11.52,2024-08-02 01:00:00,2024-08-01 20:00:00
18.46,2024-08-02 02:00:00,2024-08-01 21:00:00
